origin_airport,dest_airport,distance,totdepartures,totpassengers,totfreight,totmail,totdepartures_cat,totpassengers_cat
SBA,MRY,187,3,46,0,0,1.0,1.0
SBA,OAK,263,1,1,0,0,1.0,1.0
SBA,ONT,131,508,0,2472048,0,2.0,1.0
SBA,PSP,196,7,149,0,0,1.0,1.0
SBA,RDD,441,1,0,0,0,1.0,1.0
SBA,SAC,296,1,1,0,0,1.0,1.0
SBA,SAN,192,2,44,0,0,1.0,1.0
SBA,SFO,262,2247,86472,0,0,5.0,3.0
SBA,SJC,234,5,33,0,0,1.0,1.0
SBA,SMF,310,2,0,0,0,1.0,1.0
SBA,SNA,124,1,1,0,0,1.0,1.0
SBD,SDM,106,1,0,0,0,1.0,1.0
SBP,ACV,439,1,0,0,0,1.0,1.0
SBP,LAX,156,1475,46889,0,0,4.0,2.0
SBP,MRY,115,6,93,0,0,1.0,1.0
SBP,ONT,191,464,0,707204,0,2.0,1.0
SBP,SFO,190,1102,36479,0,0,3.0,2.0
SBP,SMF,244,1,0,0,0,1.0,1.0
SCK,BUR,301,1,1,0,0,1.0,1.0
SCK,FAT,114,2,158,0,0,1.0,1.0
SDM,BUR,138,5,5,0,0,1.0,1.0
SDM,CNO,104,1,0,0,0,1.0,1.0
SDM,OAK,462,1,0,0,0,1.0,1.0
SEE,SMO,118,1,2,0,0,1.0,1.0
SFO,ACV,250,1389,52808,0,0,4.0,2.0
SFO,BFL,238,710,17252,0,0,3.0,1.0
SFO,BUR,326,1711,78807,0,0,4.0,3.0
SFO,CEC,304,175,2146,0,0,1.0,1.0
SFO,FAT,158,946,34006,0,0,3.0,2.0
SFO,LAX,337,19408,1857887,12859419,1537319,9.0,10.0
SFO,LGB,354,1078,128190,4401,0,3.0,4.0
SFO,MMH,193,132,3950,0,0,1.0,1.0
SFO,ONT,363,2373,100639,860,0,5.0,3.0
SFO,PSP,421,2331,169473,6783,0,5.0,4.0
SFO,RDD,199,774,28871,0,0,3.0,2.0
SFO,SAN,447,7435,777032,502819,151754,8.0,9.0
SFO,SBA,262,2244,82951,0,0,5.0,3.0
SFO,SBD,377,1,1,0,0,1.0,1.0
SFO,SBP,190,1111,33510,0,0,3.0,2.0
SFO,SMX,216,469,14185,0,0,2.0,1.0
SFO,SNA,372,4590,433828,132457,0,7.0,7.0
SFO,VNY,320,1,3,0,0,1.0,1.0
SJC,ACV,275,1,0,0,0,1.0,1.0
SJC,BFL,208,1,42,0,0,1.0,1.0
SJC,BUR,296,2302,214577,57533,0,5.0,5.0
SJC,C01,269,1,9,0,0,1.0,1.0
